Policy_Number,Insured_ID,Policy_Type,Effective_Date,Expiration_Date,Policy_Status,Payment_Status,Annual_Premium,Monthly_Premium,Payment_Method,Broker,Discounts_Applied
P2FUZC2SC,BQ4DCXWL,Model & Data Security Insurance,2024-01-01,2025-01-01,Active,Paid,7757,0,Credit Card,Acme Insurance,None
P344UQML0,WJFCB3OB,Agentic AI Liability Insurance,2024-01-01,2025-01-01,Active,Paid,19181,0,Credit Card,Acme Insurance,None
P5GB5FVXP,WJFCB3OB,Agentic Workflow Uptime Insurance,2024-01-01,2025-01-01,Active,Paid,7144,0,Invoice,Acme Insurance,None
P2NOMD8BB,AC2FVVQK,Autonomous System & Robotics Coverage,2024-01-01,2025-01-01,Active,Paid,9480,0,Credit Card,Acme Insurance,None
PYEXFMC8Y,AC2FVVQK,Agentic Workflow Uptime Insurance,2024-01-01,2025-01-01,Active,Paid,19997,0,Credit Card,Acme Insurance,None
PIE5AA9LM,P59ES1NF,Intellectual Property & Output Protection,2024-01-01,2025-01-01,Active,Paid,14321,0,Credit Card,Acme Insurance,None
PAYLXI6LK,P59ES1NF,Compliance & Regulatory Shield,2024-01-01,2025-01-01,Active,Paid,6538,0,ACH,Acme Insurance,None
PZVOGQGGZ,F2AQSEJP,AI Infrastructure & Ops Protection,2024-01-01,2025-01-01,Active,Paid,4853,0,ACH,Acme Insurance,None
PKRWTNB4H,F2AQSEJP,AI Infrastructure & Ops Protection,2024-01-01,2025-01-01,Active,Paid,15602,0,Credit Card,Acme Insurance,None
PRKALKVDL,F2AQSEJP,Autonomous System & Robotics Coverage,2024-01-01,2025-01-01,Active,Paid,16614,0,ACH,Acme Insurance,None
PBYBDHTSB,PHL6U1UV,Compliance & Regulatory Shield,2024-01-01,2025-01-01,Active,Paid,15019,0,Credit Card,Acme Insurance,None
P884I9DW1,DHGUG7RI,Autonomous System & Robotics Coverage,2024-01-01,2025-01-01,Active,Paid,11869,0,Credit Card,Acme Insurance,None
PQIVO6EVM,WKZWN96R,Compliance & Regulatory Shield,2024-01-01,2025-01-01,Active,Paid,11918,0,ACH,Acme Insurance,None
P2239MU8U,WKZWN96R,Autonomous System & Robotics Coverage,2024-01-01,2025-01-01,Active,Paid,5341,0,Credit Card,Acme Insurance,None
PD4ALA11F,WKZWN96R,Compliance & Regulatory Shield,2024-01-01,2025-01-01,Active,Paid,3088,0,ACH,Acme Insurance,None
PO110LY54,WEF7KDQ0,Model & Data Security Insurance,2024-01-01,2025-01-01,Active,Paid,13942,0,Invoice,Acme Insurance,None
P790OZRIB,WEF7KDQ0,Incident Response & AI Crisis Management,2024-01-01,2025-01-01,Active,Paid,15940,0,Invoice,Acme Insurance,None
PN8MMXI6N,WEF7KDQ0,Compliance & Regulatory Shield,2024-01-01,2025-01-01,Active,Paid,19952,0,ACH,Acme Insurance,None
PX4BEFWO8,ECP2MTX5,Synthetic Data & Dataset Integrity Coverage,2024-01-01,2025-01-01,Active,Paid,2359,0,Invoice,Acme Insurance,None
PGXDNS6I5,ECP2MTX5,AI Infrastructure & Ops Protection,2024-01-01,2025-01-01,Active,Paid,8138,0,ACH,Acme Insurance,None
PVSRGO8NH,ECP2MTX5,Autonomous System & Robotics Coverage,2024-01-01,2025-01-01,Active,Paid,7163,0,Credit Card,Acme Insurance,None
P5P4RRXN9,CMBTX4JP,Intellectual Property & Output Protection,2024-01-01,2025-01-01,Active,Paid,3032,0,Credit Card,Acme Insurance,None
PWO9NUGR4,CMBTX4JP,Agentic AI Liability Insurance,2024-01-01,2025-01-01,Active,Paid,7076,0,ACH,Acme Insurance,None
