Policy_Number,AI_System_Type,Deployment_Stage,Number_of_Active_Agents,Critical_Workflows_Protected,Incident_History_Count,Last_AI_Incident_Date,Has_High_Risk_Use_Cases,Regulatory_Classification,Risk_Score_Internal
P2FUZC2SC,Agentic,Production,23,Yes,0,2024-01-01,Yes,High,96
P344UQML0,Agentic,Production,26,Yes,1,2024-01-01,Yes,High,29
P5GB5FVXP,Agentic,Production,24,No,2,2024-01-01,Yes,High,52
P2NOMD8BB,Agentic,Production,49,No,3,2024-01-01,No,Medium,14
PYEXFMC8Y,RAG,Production,35,No,5,2024-01-01,Yes,Medium,29
PIE5AA9LM,AV,Production,47,Yes,5,2024-01-01,Yes,High,82
PAYLXI6LK,Mixed,Pilot,2,Yes,2,2024-01-01,No,High,51
PZVOGQGGZ,RAG,Pilot,1,No,2,2024-01-01,Yes,High,93
PKRWTNB4H,AV,Pilot,43,Yes,5,2024-01-01,Yes,Low,26
PRKALKVDL,AV,Production,40,No,1,2024-01-01,No,Medium,65
PBYBDHTSB,Mixed,Production,43,No,1,2024-01-01,Yes,Medium,5
P884I9DW1,RAG,Production,8,Yes,1,2024-01-01,No,High,71
PQIVO6EVM,Mixed,Production,38,Yes,3,2024-01-01,Yes,Low,84
P2239MU8U,Agentic,Pilot,21,No,4,2024-01-01,Yes,Medium,40
PD4ALA11F,RAG,Production,17,No,3,2024-01-01,Yes,Medium,67
PO110LY54,RAG,Pilot,43,No,5,2024-01-01,Yes,Low,14
P790OZRIB,AV,Production,22,No,0,2024-01-01,Yes,Medium,77
PN8MMXI6N,RAG,Production,25,No,2,2024-01-01,Yes,Medium,61
PX4BEFWO8,Agentic,Pilot,46,No,1,2024-01-01,Yes,High,50
PGXDNS6I5,Agentic,Production,39,No,3,2024-01-01,No,Medium,33
PVSRGO8NH,AV,Production,40,No,5,2024-01-01,No,High,15
P5P4RRXN9,RAG,Production,43,No,5,2024-01-01,Yes,Low,72
PWO9NUGR4,Mixed,Pilot,35,No,1,2024-01-01,Yes,Medium,42
PVGAI2BIA,Robotics,Pilot,1,No,2,2024-01-01,Yes,Low,50
P02XBQQO1,Mixed,Production,28,No,4,2024-01-01,Yes,Medium,51
PK73RRUCU,Robotics,Pilot,17,Yes,5,2024-01-01,Yes,High,99
PG0G0R85O,Agentic,Production,18,Yes,2,2024-01-01,Yes,High,98
PBYFLI9CD,Robotics,Pilot,12,No,2,2024-01-01,No,Low,4
P1FISXV7T,RAG,Production,29,Yes,2,2024-01-01,No,High,75
P8SENH4MV,Mixed,Pilot,3,Yes,0,2024-01-01,Yes,Low,26
PL5DVWF6D,RAG,Pilot,25,Yes,5,2024-01-01,No,Low,6
PUOUCC48S,AV,Pilot,20,Yes,4,2024-01-01,No,Low,78
PH6SR056G,Mixed,Production,32,No,3,2024-01-01,No,High,21
PCPUSLO3D,RAG,Production,49,No,0,2024-01-01,Yes,Medium,98
PPEVMLIFK,Mixed,Pilot,2,No,4,2024-01-01,No,Medium,71
PC3881SX2,Mixed,Production,38,No,3,2024-01-01,Yes,High,45
PUQM3PO6D,Mixed,Production,24,No,5,2024-01-01,Yes,High,73
P7OWGC1Z2,AV,Production,47,Yes,5,2024-01-01,No,High,35
