Claim_ID,Policy_Number,Insured_ID,Claim_Date,Claim_Type,Claim_Description,Claim_Status,Claim_Amount,Amount_Paid
CTYVX18N9,P2NOMD8BB,AC2FVVQK,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,21054,10560
CKI36MSYM,PYEXFMC8Y,AC2FVVQK,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,30399,17916
C41JDZX5R,PAYLXI6LK,P59ES1NF,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,14602,31057
C8JRKSD4P,PZVOGQGGZ,F2AQSEJP,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,30441,21788
COP3Y67VJ,PVGAI2BIA,CMBTX4JP,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,45369,19091
C6890IWTX,PG0G0R85O,3XW05890,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,10032,3500
C4CLU0VJK,PH6SR056G,U3TJXPHJ,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,18896,18572
C5NMAQHU9,PC3881SX2,OO6COKYX,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,26715,34158
CHKQGUU66,P3SICGHZ0,I8PPF7H1,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,17866,13271
C0KHG5MXD,PW2AM6DD7,XTAKFDZG,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,24922,21310
CCQ5IY52Q,POK9CUHBD,1JUCOWEO,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,42804,24512
C0P9RTTXC,P919T6JFC,HVYYYA4B,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,43954,18697
CRKEKZNXX,P883SEBDJ,HVYYYA4B,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,9724,33852
CPS5M6HTE,P0YP7SNBT,3SOBY2S2,2024-03-15,AI Incident,AI malfunction impacting workflow.,Closed,15393,29669
